index,compression_type,byte_length,compression_ratio,compression_duration,transmission_duration,average_compression_duration,average_transmission_duration,average_both
143,Block Floating Point,194802,0.125,3499,196,3163,562,3725
144,Block Floating Point,198141,0.125,3380,213,3164,560,3725
145,Block Floating Point,198580,0.125,3504,163,3167,557,3724
146,Block Floating Point,194649,0.125,3388,502,3168,556,3725
147,Block Floating Point,198170,0.125,3477,507,3170,556,3727
148,Block Floating Point,199626,0.125,3456,525,3172,556,3729
149,Block Floating Point,195852,0.125,6504,170,3195,553,3749
150,Block Floating Point,200612,0.125,3893,3843,3199,575,3775
151,Block Floating Point,201790,0.125,4973,152,3211,572,3784
152,Block Floating Point,200738,0.125,3481,167,3213,570,3783
153,Block Floating Point,204110,0.125,3993,156,3218,567,3786
154,Block Floating Point,202232,0.125,3495,168,3220,564,3785
155,Block Floating Point,198699,0.125,3557,154,3222,562,3784
156,Block Floating Point,203299,0.125,3603,164,3224,559,3784
157,Block Floating Point,204150,0.125,3582,170,3227,557,3784
158,Block Floating Point,202389,0.125,3517,164,3229,554,3783
159,Block Floating Point,201666,0.125,3513,163,3230,552,3783
160,Block Floating Point,200877,0.125,3489,168,3232,549,3782
161,Block Floating Point,196500,0.125,3445,172,3233,547,3781
162,Block Floating Point,198687,0.125,3363,158,3234,545,3779
163,Block Floating Point,197767,0.125,3479,158,3236,542,3778
164,Block Floating Point,195293,0.125,3416,159,3237,540,3777
165,Block Floating Point,197657,0.125,3535,162,3238,538,3777
166,Block Floating Point,194342,0.125,3312,189,3239,536,3775
167,Block Floating Point,199284,0.125,3512,165,3240,533,3774
168,Block Floating Point,201389,0.125,3498,169,3242,531,3774
